ID_Venda;Data_Venda;ID_Cliente;ID_Produto;ID_Cidade;Quantidade;Preco_Unitario;Custo_Unitario;Receita;Desconto;Canal_Venda;Forma_Pagamento;Lucro_Real;Lucro_Real_1
22;2025-01-25;10362;24;1;1;51.81;27.66;51.81;2.51;Marketplace;Crédito;21.640000000000004;21.640000000000004
23;2025-12-19;18845;9;10;2;47.09;27.34;94.18;5.01;Marketplace;Crédito;29.48000000000001;34.49
24;2025-07-15;12788;39;6;5;50.27;34.33;251.35;19.26;Marketplace;Crédito;-16.599999999999966;60.440000000000055
25;2025-05-22;8062;5;9;1;163.83;77.75;163.83;29.49;Site;PIX;56.59;56.59
26;2024-08-05;14031;39;1;2;45.09;33.03;90.18;11.59;App;Crédito;0.9399999999999977;12.530000000000001
27;2026-04-02;14569;43;10;1;318.07;272.24;318.07;57.25;Marketplace;PIX;-11.420000000000016;-11.420000000000016
28;2024-09-04;17030;25;3;5;44.73;34.91;223.65;19.82;Site;Crédito;-50.0;29.28
29;2025-06-30;909;25;7;1;52.01;34.61;52.01;9.36;Site;PIX;8.04;8.04
30;2024-12-24;18701;34;4;1;449.63;370.97;449.63;80.93;Marketplace;PIX;-2.2700000000000387;-2.2700000000000387
31;2024-11-04;607;33;9;3;50.73;25.22;152.19;8.25;Site;Crédito;51.78;68.28
32;2025-10-10;18253;24;3;2;54.13;29.25;108.26;19.49;Marketplace;PIX;10.780000000000001;30.27000000000001
33;2026-02-13;1055;23;5;4;273.67;246.79;1094.68;56.06;Marketplace;Boleto;-116.71999999999991;51.46000000000015
34;2025-01-21;1144;57;3;3;40.87;30.57;122.61;6.89;Loja Física;Crédito;10.22999999999999;24.009999999999977
35;2025-06-28;11665;23;7;7;285.91;226.64;2001.37;134.9;Loja Física;PIX;-529.4099999999999;279.99
36;2025-06-05;1228;9;5;1;49.63;23.67;49.63;8.93;App;PIX;17.03;17.03
37;2024-12-06;12608;57;9;1;37.62;29.47;37.62;0.72;Marketplace;PIX;7.43;7.43
38;2024-09-13;1600;39;7;5;43.26;32.81;216.3;5.1;Marketplace;Crédito;26.74999999999997;47.14999999999998
39;2025-01-28;17743;24;2;6;48.79;27.92;292.74;2.81;Site;PIX;108.35999999999999;122.41
40;2025-11-22;9140;23;4;2;298.99;248.46;597.98;97.04;Site;Crédito;-93.02000000000004;4.019999999999982
41;2026-01-27;13271;13;9;2;340.74;289.75;681.48;122.67;Marketplace;Crédito;-143.36;-20.68999999999994
42;2025-03-07;17748;20;2;1;47.02;32.93;47.02;8.46;Site;Crédito;5.630000000000003;5.630000000000003
43;2025-07-05;4956;34;10;3;440.56;313.48;1321.68;237.9;Marketplace;PIX;-332.46000000000004;143.33999999999992
44;2026-04-07;19654;57;9;3;35.76;27.58;107.28;10.4;App;Crédito;-6.659999999999997;14.14
45;2025-01-22;12680;45;10;1;159.82;77.61;159.82;28.77;Marketplace;Crédito;53.43999999999998;53.43999999999998
46;2025-07-29;15527;58;5;2;159.73;89.82;319.46;8.13;Site;Crédito;123.56;131.69
47;2026-03-21;14908;33;2;1;57.34;26.61;57.34;10.32;Marketplace;PIX;20.410000000000004;20.410000000000004
48;2026-04-07;10122;33;4;1;54.38;27.02;54.38;9.79;Site;Crédito;17.570000000000004;17.570000000000004
49;2025-11-20;14583;46;7;1;380.62;309.77;380.62;9.41;Site;Crédito;61.44;61.44
50;2026-03-06;104;58;8;1;141.92;81.97;141.92;4.69;Marketplace;Crédito;55.25999999999999;55.25999999999999
51;2026-05-04;15370;45;3;1;150.18;77.93;150.18;4.05;Loja Física;Débito;68.19999999999999;68.19999999999999
52;2026-05-18;11558;38;1;2;49.09;29.31;98.18;1.78;App;Crédito;36.00000000000001;37.78000000000001
53;2025-03-08;4717;5;4;1;156.3;85.04;156.3;11.69;Loja Física;Débito;59.57000000000001;59.57000000000001
54;2026-05-13;8907;45;2;4;147.88;74.31;591.52;46.09;App;Crédito;109.91999999999996;248.18999999999994
55;2024-08-18;11234;35;8;3;39.15;28.41;117.45;12.05;Site;Crédito;-3.930000000000007;20.169999999999987
56;2025-05-03;1529;9;4;3;46.32;25.74;138.96;25.01;Loja Física;Crédito;-13.290000000000006;36.730000000000004
57;2025-08-13;200;24;2;2;55.57;29.72;111.14;11.06;Marketplace;Crédito;29.58;40.64
59;2024-12-29;12495;43;6;1;318.17;265.37;318.17;57.27;Marketplace;Crédito;-4.46999999999997;-4.46999999999997
60;2025-07-04;15127;1;10;1;52.66;24.02;52.66;4.94;Marketplace;PIX;23.7;23.7
61;2025-06-08;4089;60;4;7;227.2;102.28;1590.4;232.83;Marketplace;PIX;-755.3700000000002;641.6099999999999
63;2025-11-07;14430;25;2;1;52.56;32.93;52.56;6.99;App;Crédito;12.64;12.64
64;2025-06-14;7001;23;10;1;316.96;231.65;316.96;57.05;Marketplace;PIX;28.259999999999962;28.259999999999962
65;2025-05-30;11352;46;2;4;381.34;278.02;1525.36;274.56;Marketplace;Boleto;-684.96;138.72000000000003
66;2026-04-19;14138;58;10;1;147.08;84.53;147.08;26.47;Site;PIX;36.08000000000001;36.08000000000001
67;2026-05-28;4393;40;4;2;129.7;94.95;259.4;46.69;Marketplace;Débito;-23.880000000000024;22.809999999999974
69;2024-10-05;206;20;7;6;40.69;33.06;244.14;37.19;Marketplace;PIX;-177.36;8.589999999999975
70;2026-04-08;5276;2;9;1;324.75;342.93;324.75;58.46;Loja Física;PIX;-76.63999999999999;-76.63999999999999
71;2024-11-30;7971;38;8;2;45.58;31.11;91.16;16.41;App;Crédito;-3.8800000000000026;12.530000000000001
72;2026-05-28;15907;46;5;8;358.14;298.82;2865.12;12.46;Marketplace;PIX;374.8800000000001;462.0999999999999
73;2024-06-26;14185;43;2;1;348.84;281.74;348.84;62.79;Marketplace;Boleto;4.309999999999945;4.309999999999945
74;2025-08-14;11134;1;5;1;49.96;25.75;49.96;5.25;App;PIX;18.96;18.96
75;2025-07-07;14307;35;8;1;36.56;26.67;36.56;6.58;Site;PIX;3.3100000000000023;3.3100000000000023
76;2025-01-01;6247;35;10;2;36.81;27.93;73.62;13.25;Site;Crédito;-8.739999999999995;4.510000000000005
78;2025-01-06;7113;43;9;3;362.4;271.75;1087.2;131.97;Marketplace;PIX;-123.96000000000004;139.9799999999998
80;2025-10-16;17317;25;9;2;45.95;33.65;91.9;14.65;Marketplace;Débito;-4.699999999999989;9.950000000000003
81;2025-12-26;13537;43;7;2;307.01;312.97;614.02;71.1;App;Crédito;-154.12000000000006;-83.0200000000001
82;2025-11-12;12225;38;9;8;48.42;28.81;387.36;36.18;Site;Crédito;-132.55999999999997;120.70000000000002
83;2024-09-18;13916;9;8;2;46.67;25.0;93.34;16.8;Marketplace;Boleto;9.740000000000002;26.540000000000006
85;2026-01-20;9532;38;8;1;46.18;28.89;46.18;8.31;Marketplace;Boleto;8.979999999999997;8.979999999999997
86;2024-12-27;12070;38;8;3;45.38;31.0;136.14;5.65;Marketplace;PIX;26.190000000000012;37.49000000000001
87;2026-01-10;4062;1;3;2;56.01;25.17;112.02;20.16;Site;Boleto;21.359999999999985;41.519999999999996
88;2025-05-17;16449;35;1;3;35.63;26.13;106.89;4.77;Site;Crédito;14.190000000000012;23.730000000000018
89;2024-10-22;4381;40;8;5;122.9;86.67;614.5;31.57;App;Débito;23.300000000000068;149.57999999999993
90;2024-08-05;14844;49;3;2;195.92;122.83;391.84;29.84;Site;Boleto;86.49999999999997;116.34
91;2024-08-02;6890;35;3;1;37.57;23.57;37.57;4.48;Marketplace;Boleto;9.520000000000003;9.520000000000003
92;2025-12-05;3671;39;1;8;52.03;32.93;416.24;3.24;Site;Crédito;126.88;149.56
93;2026-03-07;11791;31;5;2;210.16;108.24;420.32;25.8;App;Crédito;152.23999999999998;178.04
95;2025-09-08;9047;33;7;2;55.1;25.91;110.2;19.84;App;PIX;18.70000000000001;38.54
96;2025-02-25;19928;57;10;2;41.88;30.69;83.76;6.57;Site;Crédito;9.240000000000002;15.809999999999995
98;2026-01-28;16589;39;7;6;45.65;33.67;273.9;49.3;Site;Boleto;-223.92000000000002;22.579999999999956
99;2025-04-10;901;13;9;1;343.38;268.74;343.38;61.81;Marketplace;PIX;12.829999999999984;12.829999999999984
102;2024-11-27;6835;1;1;1;49.52;28.66;49.52;8.91;Site;PIX;11.95;11.95
103;2024-07-15;10516;20;7;3;45.54;29.19;136.62;11.2;Marketplace;Boleto;15.450000000000003;37.849999999999994
104;2025-04-13;1345;20;7;1;42.16;28.12;42.16;7.59;Site;PIX;6.449999999999992;6.449999999999992
105;2025-04-25;13425;49;8;4;206.01;114.07;824.04;148.33;App;PIX;-225.56000000000006;219.42999999999995
106;2024-05-29;11999;38;5;5;45.12;27.88;225.6;2.88;Marketplace;Crédito;71.79999999999998;83.32
107;2025-01-07;7263;9;3;1;43.03;24.83;43.03;7.75;Marketplace;PIX;10.450000000000003;10.450000000000003
108;2026-01-26;399;16;8;1;279.0;118.55;279.0;30.03;App;PIX;130.42000000000002;130.42000000000002
110;2025-10-19;4354;57;3;3;40.71;27.36;122.13;17.28;Marketplace;Débito;-11.790000000000006;22.769999999999996
111;2024-09-28;6357;40;1;1;130.24;89.8;130.24;23.44;Marketplace;PIX;17.000000000000014;17.000000000000014
112;2025-03-30;1341;38;3;1;48.55;31.36;48.55;8.74;Marketplace;PIX;8.449999999999996;8.449999999999996
113;2026-02-19;18588;25;5;2;45.64;34.31;91.28;16.43;Loja Física;Crédito;-10.200000000000003;6.22999999999999
114;2025-08-28;14768;39;3;4;51.58;29.03;206.32;37.14;App;PIX;-58.360000000000014;53.06
115;2026-02-11;5207;49;1;1;216.7;127.42;216.7;39.01;Site;Crédito;50.269999999999996;50.269999999999996
116;2024-08-17;6183;47;5;3;287.08;252.21;861.24;124.83;App;PIX;-269.88;-20.220000000000027
117;2024-07-02;17776;35;10;1;35.91;24.52;35.91;6.46;App;Crédito;4.929999999999996;4.929999999999996
118;2025-08-04;12438;38;7;2;51.88;32.22;103.76;17.79;Marketplace;Boleto;3.740000000000009;21.53
119;2024-08-16;17245;3;7;3;396.19;216.28;1188.57;126.28;App;PIX;160.88999999999987;413.44999999999993
120;2024-09-28;7988;1;9;1;49.97;25.31;49.97;8.99;Site;PIX;15.669999999999998;15.669999999999998
121;2025-07-13;16008;57;10;1;40.24;29.02;40.24;7.24;App;Crédito;3.9800000000000004;3.9800000000000004
122;2024-09-03;11636;40;10;3;132.72;85.27;398.16;66.88;App;PIX;-58.28999999999999;75.46999999999997
123;2025-06-03;18243;39;3;1;49.61;33.95;49.61;8.93;Marketplace;Crédito;6.729999999999997;6.729999999999997
124;2026-02-27;8951;25;7;3;46.51;32.22;139.53;25.12;Marketplace;PIX;-32.49000000000001;17.75
125;2025-07-21;12364;35;1;2;40.42;27.2;80.84;0.29;Marketplace;PIX;25.860000000000007;26.15
126;2026-04-20;16955;57;4;2;41.75;31.78;83.5;12.54;Site;Crédito;-5.140000000000001;7.400000000000006
127;2024-09-11;17275;34;4;1;464.76;356.48;464.76;39.86;App;PIX;68.41999999999996;68.41999999999996
128;2025-12-19;4669;12;5;2;335.09;259.3;670.18;120.63;App;Crédito;-89.68000000000006;30.949999999999932
130;2025-09-17;16502;5;7;4;159.33;90.57;637.32;8.79;Site;Crédito;239.8800000000001;266.2500000000001
131;2025-05-22;15543;9;4;3;44.53;26.63;133.59;1.78;Marketplace;Crédito;48.36;51.92
133;2026-02-08;11808;5;3;1;173.28;83.76;173.28;2.43;Marketplace;Crédito;87.08999999999999;87.08999999999999
134;2026-04-18;9512;24;6;1;56.67;33.13;56.67;6.25;Marketplace;Crédito;17.29;17.29
135;2026-02-01;6373;24;2;4;54.95;31.36;219.8;23.24;Loja Física;Débito;1.40000000000002;71.12
136;2025-06-26;13640;60;10;3;230.23;111.39;690.69;124.32;Marketplace;PIX;-16.439999999999998;232.19999999999987
137;2026-04-11;8398;24;9;1;47.91;32.37;47.91;8.62;Site;PIX;6.920000000000002;6.920000000000002
140;2025-10-31;9438;58;4;3;153.99;82.67;461.97;6.38;Loja Física;PIX;194.82000000000005;207.58000000000004
141;2025-03-06;7027;25;10;1;44.29;29.98;44.29;7.97;Loja Física;Crédito;6.34;6.34
142;2025-01-13;12118;23;7;1;301.9;229.15;301.9;29.12;Marketplace;Crédito;43.62999999999997;43.62999999999997
143;2024-08-30;4845;38;9;5;43.36;29.43;216.8;28.55;Site;Crédito;-73.10000000000001;41.099999999999994
144;2024-11-17;988;22;7;2;298.17;318.03;596.34;107.34;Marketplace;PIX;-254.39999999999992;-147.05999999999995
146;2026-05-21;3565;1;1;5;50.19;23.95;250.95;17.5;Marketplace;PIX;43.69999999999999;113.69999999999999
149;2024-07-03;4131;58;4;1;168.79;78.95;168.79;30.38;Marketplace;PIX;59.459999999999994;59.459999999999994
150;2025-01-09;9800;1;9;3;53.11;26.71;159.33;25.42;Marketplace;PIX;2.9399999999999977;53.77999999999997
151;2025-07-23;11883;60;3;1;259.4;113.24;259.4;46.69;App;PIX;99.46999999999998;99.46999999999998
153;2025-06-24;16488;31;6;1;214.7;94.19;214.7;38.65;Marketplace;Crédito;81.85999999999999;81.85999999999999
154;2025-01-26;6269;35;8;2;34.93;27.95;69.86;5.84;Site;PIX;2.280000000000001;8.119999999999997
155;2024-06-01;17324;35;9;2;38.64;26.0;77.28;12.37;Loja Física;Débito;0.5400000000000063;12.909999999999997
156;2025-10-20;12538;9;5;2;43.43;27.04;86.86;0.02;Marketplace;PIX;32.739999999999995;32.760000000000005
157;2024-12-08;19954;1;1;3;56.36;24.06;169.08;9.41;Site;PIX;68.67000000000003;87.49
158;2025-09-05;2807;35;3;3;39.83;28.13;119.49;17.82;App;Débito;-18.36;17.279999999999987
159;2026-02-03;13781;1;10;3;55.25;27.68;165.75;29.83;Marketplace;PIX;-6.779999999999987;52.880000000000024
160;2025-12-19;3845;51;8;2;338.33;216.13;676.66;24.95;Site;PIX;194.5;219.44999999999993
161;2025-07-26;286;33;6;5;51.84;26.39;259.2;22.32;Marketplace;Crédito;15.650000000000034;104.93000000000006
162;2026-04-16;14394;5;8;2;177.95;92.05;355.9;14.47;Site;PIX;142.85999999999999;157.32999999999996
163;2026-03-21;6222;57;9;1;36.88;31.54;36.88;6.64;Site;Crédito;-1.2999999999999972;-1.2999999999999972
164;2024-08-22;9145;45;4;1;156.79;77.92;156.79;28.22;Site;PIX;50.64999999999999;50.64999999999999
165;2024-05-27;6716;39;1;2;45.87;33.89;91.74;16.51;Marketplace;Débito;-9.06000000000001;7.449999999999989
166;2025-12-20;5740;16;1;1;263.03;100.36;263.03;47.35;App;Débito;115.31999999999998;115.31999999999998
168;2026-01-10;8882;35;4;1;38.37;27.96;38.37;5.9;Marketplace;Crédito;4.509999999999998;4.509999999999998
170;2025-12-09;4742;58;2;4;167.97;76.07;671.88;120.94;Site;Débito;-116.15999999999997;246.66000000000008
171;2025-11-03;2195;20;3;1;44.61;29.38;44.61;4.41;Site;Crédito;10.820000000000004;10.820000000000004
172;2024-06-01;3002;34;1;4;438.04;350.49;1752.16;131.09;Marketplace;PIX;-174.15999999999985;219.11000000000013
173;2025-03-13;7040;24;5;1;57.98;27.74;57.98;7.38;Site;PIX;22.859999999999996;22.859999999999996
174;2026-02-09;9256;58;1;3;155.34;88.09;466.02;27.36;Marketplace;PIX;119.67000000000002;174.39
175;2024-10-30;5206;3;8;1;379.24;240.89;379.24;68.26;Site;Crédito;70.09000000000003;70.09000000000003
176;2026-01-21;8104;13;1;1;320.89;294.31;320.89;57.76;Marketplace;PIX;-31.180000000000007;-31.180000000000007
178;2025-09-08;4948;47;2;1;264.39;252.97;264.39;47.59;Marketplace;PIX;-36.170000000000016;-36.170000000000016
180;2024-10-11;15665;9;6;3;51.31;24.07;153.93;26.22;Marketplace;Crédito;3.0600000000000023;55.5
181;2025-04-13;18416;40;7;1;137.11;88.06;137.11;24.68;Marketplace;Crédito;24.370000000000005;24.370000000000005
182;2026-06-03;16785;39;5;5;48.63;34.02;243.15;5.1;Marketplace;Crédito;47.54999999999998;67.94999999999999
184;2024-05-26;14365;45;1;1;175.5;79.31;175.5;5.33;App;PIX;90.85999999999999;90.85999999999999
187;2026-02-06;13413;24;5;2;55.33;32.19;110.66;6.04;App;Crédito;34.2;40.239999999999995
188;2025-06-11;18740;20;10;2;41.18;33.85;82.36;14.82;Site;Crédito;-14.980000000000004;-0.1600000000000108
192;2025-11-19;1145;16;7;4;266.65;107.6;1066.6;108.18;App;Débito;203.4799999999999;528.0199999999999
193;2024-12-07;19580;35;8;3;37.87;25.63;113.61;3.43;App;PIX;26.429999999999993;33.28999999999998
194;2025-08-20;8742;25;1;2;51.65;34.23;103.3;18.59;Site;Crédito;-2.339999999999989;16.25
195;2025-10-22;256;12;6;2;297.33;249.51;594.66;107.04;Marketplace;Crédito;-118.44000000000005;-11.400000000000034
196;2025-05-15;9808;25;8;3;50.28;34.69;150.84;27.15;Marketplace;PIX;-34.67999999999998;19.620000000000005
197;2025-06-25;4209;39;5;5;43.41;30.38;217.05;12.02;Site;PIX;5.049999999999983;53.12999999999997
198;2025-06-29;17064;33;4;1;49.8;24.81;49.8;8.96;App;PIX;16.029999999999998;16.029999999999998
199;2024-12-31;4936;46;2;4;356.16;279.27;1424.64;172.53;App;Crédito;-382.55999999999983;135.0300000000002
200;2024-06-23;1033;24;6;4;56.55;27.24;226.2;0.1;App;PIX;116.83999999999999;117.14
201;2024-09-16;4115;39;6;1;45.68;30.16;45.68;8.22;Site;PIX;7.300000000000001;7.300000000000001
202;2025-08-13;6734;23;1;3;319.87;268.84;959.61;172.73;Marketplace;PIX;-365.0999999999999;-19.639999999999986
204;2026-04-15;9778;39;6;4;45.14;31.73;180.56;32.5;App;PIX;-76.36;21.14
205;2025-02-12;12492;24;3;1;52.4;29.76;52.4;9.43;Site;PIX;13.209999999999997;13.209999999999997
206;2025-08-21;11274;25;4;5;53.82;35.14;269.1;10.37;Marketplace;PIX;41.55000000000001;83.03000000000003
207;2026-04-18;2412;23;4;1;287.78;267.89;287.78;49.07;Marketplace;Crédito;-29.180000000000007;-29.180000000000007
208;2024-10-13;15046;39;3;1;49.37;29.89;49.37;8.89;Site;PIX;10.589999999999996;10.589999999999996
209;2024-11-06;16838;24;10;1;52.08;31.88;52.08;1.38;Marketplace;Crédito;18.819999999999997;18.819999999999997
210;2025-10-02;13102;38;3;2;43.85;29.03;87.7;15.79;Marketplace;Crédito;-1.9399999999999977;13.849999999999994
213;2026-02-12;3151;12;7;2;323.86;244.47;647.72;61.52;Site;PIX;35.740000000000066;97.26000000000005
214;2025-07-22;2562;9;4;1;47.81;24.87;47.81;5.33;Marketplace;Boleto;17.610000000000003;17.610000000000003
215;2025-09-24;17378;9;9;1;45.76;24.65;45.76;4.92;Site;Boleto;16.189999999999998;16.189999999999998
216;2026-02-26;19761;3;1;5;382.79;234.32;1913.95;94.22;Marketplace;PIX;271.25000000000045;648.1300000000001
217;2025-10-19;591;9;8;3;45.53;23.53;136.59;5.69;Marketplace;PIX;48.93000000000001;60.31
218;2026-04-06;19182;35;7;3;34.32;27.73;102.96;5.38;Site;Boleto;3.6300000000000097;14.390000000000015
219;2024-10-30;11578;5;2;1;164.48;86.52;164.48;29.61;Site;PIX;48.35000000000001;48.35000000000001
221;2024-10-03;10365;45;1;4;167.11;69.35;668.44;7.77;Site;Débito;359.96000000000004;383.2700000000001
222;2024-10-23;4248;39;9;6;45.29;30.74;271.74;1.02;Site;PIX;81.18;86.28000000000003
226;2024-10-02;18620;24;10;3;57.77;30.59;173.31;25.89;Marketplace;PIX;3.8700000000000188;55.65000000000002
227;2025-08-27;3375;38;3;1;45.0;32.54;45.0;8.1;Loja Física;Débito;4.359999999999999;4.359999999999999
229;2025-12-18;5100;48;10;1;254.27;110.26;254.27;2.09;App;PIX;141.92000000000002;141.92000000000002
230;2025-03-06;5223;33;9;4;53.09;25.52;212.36;7.39;Site;Débito;80.72000000000001;102.89000000000003
231;2026-01-24;9156;35;4;1;37.9;27.23;37.9;6.82;App;PIX;3.849999999999998;3.849999999999998
232;2024-08-14;2632;58;1;1;169.36;89.53;169.36;30.48;Site;PIX;49.35000000000002;49.35000000000002
233;2025-03-19;15617;1;2;1;48.5;24.59;48.5;5.03;Site;PIX;18.88;18.88
234;2026-06-06;1592;5;1;1;176.05;77.32;176.05;31.69;Site;Boleto;67.04000000000002;67.04000000000002
235;2025-04-29;1150;25;5;4;49.82;31.22;199.28;12.05;Marketplace;PIX;26.19999999999999;62.349999999999994
236;2026-01-27;11062;16;5;1;247.9;118.21;247.9;27.08;Site;Boleto;102.61;102.61
237;2025-01-26;840;34;7;5;410.76;359.85;2053.8;206.39;Marketplace;PIX;-777.4;48.16000000000031
238;2024-10-11;17966;20;9;5;40.46;30.82;202.3;18.92;Marketplace;Crédito;-46.400000000000006;29.28
239;2025-01-01;9143;3;9;4;359.05;237.52;1436.2;85.42;Site;Boleto;144.43999999999994;400.69999999999993
240;2025-11-19;12275;57;3;6;42.41;27.64;254.46;4.9;Marketplace;PIX;59.22;83.71999999999997
241;2026-02-25;2099;49;3;3;220.61;124.37;661.83;80.38;Loja Física;Débito;47.58000000000004;208.34000000000003
242;2024-08-04;847;45;3;2;170.97;80.05;341.94;3.02;Loja Física;PIX;175.79999999999998;178.82000000000002
243;2025-08-12;1267;34;4;3;412.53;344.83;1237.59;222.77;App;Crédito;-465.21000000000015;-19.670000000000073
244;2026-06-06;15359;12;8;1;304.42;269.63;304.42;54.8;Marketplace;Crédito;-20.00999999999999;-20.00999999999999
245;2025-02-18;5929;39;6;3;45.11;33.65;135.33;1.01;Marketplace;Boleto;31.350000000000023;33.370000000000005
246;2025-06-19;12755;3;8;1;377.98;241.05;377.98;17.1;Loja Física;Crédito;119.82999999999998;119.82999999999998
247;2025-01-25;14108;48;1;4;264.18;105.04;1056.72;22.33;Site;Boleto;547.24;614.23
248;2026-01-20;14636;43;8;5;319.22;262.4;1596.1;211.6;Loja Física;Crédito;-773.8999999999999;72.50000000000023
249;2026-05-25;19134;45;4;1;159.46;83.96;159.46;28.7;Loja Física;Crédito;46.800000000000026;46.800000000000026
251;2026-05-08;8354;51;8;3;292.5;245.29;877.5;26.19;Marketplace;Boleto;63.06000000000006;115.43999999999994
254;2025-04-17;14285;57;8;1;37.48;30.26;37.48;6.75;Marketplace;Crédito;0.4699999999999953;0.4699999999999953
255;2026-05-05;8857;2;4;3;369.0;286.68;1107.0;36.69;Marketplace;PIX;136.8900000000001;210.26999999999998
256;2026-02-07;15052;39;3;2;45.07;31.21;90.14;16.23;Site;Crédito;-4.740000000000002;11.489999999999995
257;2026-01-07;3200;1;9;1;48.08;27.55;48.08;8.65;Loja Física;PIX;11.879999999999999;11.879999999999999
259;2025-08-04;17743;57;9;4;41.7;28.25;166.8;19.55;Site;Débito;-24.39999999999999;34.25
261;2025-02-15;4008;39;2;3;51.04;32.13;153.12;8.22;Site;Crédito;32.06999999999999;48.50999999999999
262;2025-11-28;7180;51;2;3;283.4;216.04;850.2;58.4;Loja Física;Crédito;26.87999999999988;143.67999999999995
263;2025-10-11;9367;38;6;3;50.88;27.5;152.64;27.48;Marketplace;PIX;-12.299999999999997;42.66000000000001
264;2024-08-09;10173;39;3;1;51.23;32.55;51.23;2.79;Site;Crédito;15.89;15.89
265;2025-10-06;10324;5;9;1;177.48;91.61;177.48;31.95;App;Crédito;53.92;53.92
266;2024-09-07;19888;1;4;2;53.78;29.07;107.56;6.37;Site;PIX;36.68000000000001;43.05
268;2025-08-09;5721;22;4;1;281.84;279.21;281.84;50.73;Site;Crédito;-48.099999999999994;-48.099999999999994
269;2026-05-24;9706;9;1;3;43.11;25.46;129.33;23.28;Marketplace;Crédito;-16.89;29.669999999999987
270;2025-05-17;14508;13;5;3;356.64;252.85;1069.92;16.39;Marketplace;Débito;262.20000000000005;294.98
271;2026-03-14;6380;58;4;1;153.76;81.16;153.76;27.68;App;PIX;44.91999999999999;44.91999999999999
272;2025-07-26;13833;9;8;1;48.69;23.04;48.69;8.76;App;Débito;16.89;16.89
273;2026-02-04;9035;38;8;1;51.75;28.24;51.75;9.32;App;PIX;14.190000000000001;14.190000000000001
274;2026-01-23;4017;33;7;1;52.68;25.24;52.68;8.61;App;PIX;18.830000000000002;18.830000000000002
275;2025-05-09;19977;40;3;1;137.0;90.34;137.0;0.55;Site;Débito;46.109999999999985;46.109999999999985
276;2025-04-15;3393;3;1;2;384.19;232.35;768.38;137.35;Site;PIX;28.980000000000018;166.32999999999998
277;2026-05-15;17567;51;1;2;338.18;225.23;676.36;121.74;App;Crédito;-17.579999999999984;104.16000000000003
278;2026-04-21;15037;1;3;2;56.29;26.23;112.58;20.26;Site;Crédito;19.6;39.85999999999999
279;2026-01-11;289;57;6;2;41.8;29.23;83.6;15.05;Site;Crédito;-4.960000000000008;10.089999999999996
280;2024-08-10;10833;20;7;1;42.65;30.43;42.65;7.68;App;Crédito;4.539999999999999;4.539999999999999
281;2026-03-07;1592;57;6;2;38.39;30.64;76.78;13.82;App;Crédito;-12.14;1.6799999999999997
282;2025-10-31;16131;40;6;2;132.67;93.34;265.34;47.76;Marketplace;PIX;-16.860000000000014;30.899999999999977
283;2025-08-20;4072;35;6;1;35.54;27.06;35.54;6.4;Marketplace;Crédito;2.080000000000002;2.080000000000002
284;2026-03-15;6271;35;3;2;39.7;24.04;79.4;5.24;Marketplace;Boleto;20.840000000000003;26.080000000000013
286;2025-11-20;19544;25;8;1;52.95;30.31;52.95;9.53;Marketplace;Débito;13.110000000000003;13.110000000000003
287;2024-06-07;10896;24;2;2;52.75;29.95;105.5;15.3;Site;Crédito;15.000000000000007;30.300000000000004
288;2024-10-01;11089;1;5;1;52.79;27.46;52.79;2.05;Site;Crédito;23.28;23.28
